-69,-89,15,6,3,0,0,0,0,0,0,0,10,59,12,36,8,8,4,26,6,14,5,2,8,7,6,12,2,33,6,-1,5,24,8,47,2,4,10,33,10,47,10,20,2,13,10,28,4,7,7,4,8,43,6,8,7,46,8,4,8,28,8,29,12,23,8,34,10,29,5,11,9,3,9,-4,5,35,11,16,3,11,5,19,1,-17,2,1,4,10,6,2,4,43,11,15,10,30,8,55,11,19,10,47,7,46,8,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-64,-89,15,6,3,1,0,0,0,0,0,0,24,53,19,42,13,7,13,21,20,13,19,3,19,7,14,15,10,35,11,-6,11,25,18,45,8,4,24,38,21,48,12,20,18,10,13,25,10,8,14,2,9,45,10,6,12,44,18,2,12,25,10,36,14,25,14,30,15,27,15,7,16,1,15,-4,9,35,21,19,13,9,19,15,4,-18,7,0,15,10,19,1,20,36,11,16,22,24,16,60,23,16,13,47,10,44,18,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-67,-89,15,6,3,2,0,0,0,0,0,0,27,51,30,34,14,3,22,22,28,8,18,0,25,4,19,10,10,33,20,-4,18,24,22,43,12,1,31,32,21,48,18,19,19,10,19,28,17,4,22,4,14,43,18,6,16,44,21,0,20,28,21,28,23,21,18,32,22,18,21,5,23,0,23,-4,9,32,22,14,15,9,24,14,6,-16,10,-2,15,9,23,2,20,36,16,13,23,23,22,61,28,10,17,49,14,42,28,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-66,-89,15,6,3,3,0,0,0,0,0,0,32,51,36,34,22,5,22,21,31,6,24,-2,26,0,20,8,15,33,28,-6,18,22,27,44,14,3,34,30,27,49,26,15,26,12,21,22,20,5,21,2,20,39,19,1,17,43,26,0,24,22,22,24,27,20,28,27,26,20,26,1,25,0,23,-6,17,32,35,11,20,6,28,16,7,-18,12,0,20,4,26,-3,32,34,21,13,30,29,33,55,32,13,19,40,20,42,30,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-69,-89,15,6,3,4,0,0,0,0,0,0,35,46,24,35,26,1,24,20,37,2,24,-4,28,-2,24,9,17,30,24,-9,21,17,30,39,15,0,42,20,27,46,24,14,28,6,28,22,21,2,27,-2,19,38,20,1,19,41,24,-6,28,20,26,26,32,18,32,26,31,19,27,5,26,-3,32,-7,18,32,32,11,21,3,33,13,7,-19,12,-2,23,6,32,-6,35,29,27,10,32,20,32,50,35,7,27,42,19,41,32,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-70,-89,15,6,3,5,0,0,0,0,0,0,38,48,41,25,25,0,23,9,41,-3,30,-7,31,-7,27,3,19,29,27,-12,21,15,28,39,16,-1,43,23,26,43,30,11,26,5,24,17,23,-2,26,-7,25,37,17,0,20,37,27,-7,27,17,28,20,32,12,34,20,31,19,26,-4,29,-4,28,-13,16,28,31,2,18,5,31,6,7,-21,14,-5,27,0,32,-9,37,25,26,6,26,14,31,48,34,9,26,37,24,37,34,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-67,-89,15,6,3,6,0,0,0,0,0,0,33,34,33,12,23,-3,26,9,30,-3,30,-10,29,-8,22,2,17,27,19,-17,24,11,26,38,17,-5,42,24,24,39,25,6,26,1,24,13,23,-4,25,-7,20,33,20,0,18,34,30,-9,22,12,21,19,26,10,33,11,33,15,24,-3,31,-9,20,-17,18,27,37,3,17,1,27,5,8,-23,13,-5,26,-2,34,-16,30,25,22,3,32,10,33,45,39,-5,22,33,19,34,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-66,-89,15,6,3,7,0,0,0,0,0,0,27,34,36,11,20,-7,22,12,33,-16,26,-14,35,-16,23,-1,15,25,25,-21,22,6,21,28,15,-6,39,16,25,35,29,0,26,-5,26,13,20,-5,29,-15,20,29,18,-6,18,31,33,-12,25,13,28,15,27,0,29,10,27,8,24,-9,28,-16,23,-22,16,26,23,-4,21,-3,30,0,9,-23,13,-7,25,-6,31,-13,34,20,25,1,26,6,29,37,38,-4,21,30,18,34,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-69,-89,15,6,3,8,0,0,0,0,0,0,34,21,33,9,20,-12,20,4,30,-15,18,-22,30,-23,23,-5,12,22,27,-25,22,6,20,28,11,-9,33,8,22,32,19,-3,22,-4,19,8,18,-9,21,-18,20,26,16,-8,17,30,24,-17,19,9,15,10,27,-2,26,4,22,3,25,-12,26,-14,23,-26,16,21,29,-5,17,-4,24,-1,7,-24,8,-10,16,-6,28,-25,29,6,24,-6,25,0,32,32,35,-9,19,26,18,26,30,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-68,-89,15,6,3,9,0,0,0,0,0,0,27,22,28,4,21,-19,25,3,31,-20,15,-22,29,-19,17,-9,13,22,26,-30,14,1,18,26,9,-12,32,0,23,27,26,-6,17,-14,19,2,13,-13,18,-22,16,24,13,-15,17,24,18,-27,18,6,18,10,24,-4,25,4,22,-2,23,-17,19,-22,20,-28,13,17,23,-18,15,-8,23,-7,7,-25,10,-11,20,-13,25,-28,30,5,20,-8,25,-3,27,32,25,-13,23,21,18,21,26,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
