timestamp,station_id,sensor_id,value,unit,quality,shift,part_number
2025-03-03T06:00:00Z,WS01_CNC_MILLING,WS01_CNC_MILLING_SPINDLE_SPEED,4491.7467,RPM,GOOD,Day,PN-7741-B
2025-03-03T06:00:00Z,WS01_CNC_MILLING,WS01_CNC_MILLING_FEED_RATE,351.5165,mm/min,GOOD,Day,PN-7741-B
2025-03-03T06:00:00Z,WS01_CNC_MILLING,WS01_CNC_MILLING_COOLANT_TEMP,24.5981,°C,GOOD,Day,PN-7741-B
2025-03-03T06:00:00Z,WS01_CNC_MILLING,WS01_CNC_MILLING_MOTOR_CURRENT,18.4726,A,GOOD,Day,PN-7741-B
2025-03-03T06:00:00Z,WS02_LATHE,WS02_LATHE_SPINDLE_SPEED,2800.9434,RPM,GOOD,Day,PN-3302-A
2025-03-03T06:00:00Z,WS02_LATHE,WS02_LATHE_CUTTING_FORCE,613.9273,N,GOOD,Day,PN-3302-A
2025-03-03T06:00:00Z,WS02_LATHE,WS02_LATHE_VIBRATION,0.1732,mm/s,GOOD,Day,PN-3302-A
2025-03-03T06:00:00Z,WS02_LATHE,WS02_LATHE_MOTOR_CURRENT,14.9563,A,GOOD,Day,PN-3302-A
2025-03-03T06:00:00Z,WS03_HYDRAULIC_PRESS,WS03_HYDRAULIC_PRESS_PRESS_FORCE,836.2503,kN,GOOD,Day,PN-5519-C
2025-03-03T06:00:00Z,WS03_HYDRAULIC_PRESS,WS03_HYDRAULIC_PRESS_HYDRAULIC_PRS,218.5815,bar,GOOD,Day,PN-5519-C
2025-03-03T06:00:00Z,WS03_HYDRAULIC_PRESS,WS03_HYDRAULIC_PRESS_OIL_TEMP,44.1647,°C,GOOD,Day,PN-5519-C
2025-03-03T06:00:00Z,WS03_HYDRAULIC_PRESS,WS03_HYDRAULIC_PRESS_CYCLE_TIME,4.2035,s,GOOD,Day,PN-5519-C
2025-03-03T06:00:00Z,WS04_ASSEMBLY_ROBOT,WS04_ASSEMBLY_ROBOT_JOINT_TORQUE,38.1824,Nm,GOOD,Day,PN-8820-D
2025-03-03T06:00:00Z,WS04_ASSEMBLY_ROBOT,WS04_ASSEMBLY_ROBOT_CYCLE_TIME,12.7316,s,GOOD,Day,PN-8820-D
2025-03-03T06:00:00Z,WS04_ASSEMBLY_ROBOT,WS04_ASSEMBLY_ROBOT_MOTOR_TEMP,52.7111,°C,GOOD,Day,PN-8820-D
2025-03-03T06:00:00Z,WS04_ASSEMBLY_ROBOT,WS04_ASSEMBLY_ROBOT_POSITION_ERR,0.0389,mm,GOOD,Day,PN-8820-D
2025-03-03T06:00:00Z,WS05_CMM_INSPECTION,WS05_CMM_INSPECTION_PROBE_FORCE,0.1465,N,GOOD,Day,PN-0011-X
2025-03-03T06:00:00Z,WS05_CMM_INSPECTION,WS05_CMM_INSPECTION_AMBIENT_TEMP,20.0979,°C,GOOD,Day,PN-0011-X
2025-03-03T06:00:00Z,WS05_CMM_INSPECTION,WS05_CMM_INSPECTION_HUMIDITY,48.4235,%RH,GOOD,Day,PN-0011-X
2025-03-03T06:00:00Z,WS05_CMM_INSPECTION,WS05_CMM_INSPECTION_CYCLE_TIME,96.4418,s,GOOD,Day,PN-0011-X
2025-03-03T06:00:30Z,WS01_CNC_MILLING,WS01_CNC_MILLING_SPINDLE_SPEED,4508.0177,RPM,GOOD,Day,PN-7741-B
2025-03-03T06:00:30Z,WS01_CNC_MILLING,WS01_CNC_MILLING_FEED_RATE,347.0559,mm/min,GOOD,Day,PN-7741-B
2025-03-03T06:00:30Z,WS01_CNC_MILLING,WS01_CNC_MILLING_COOLANT_TEMP,24.8477,°C,GOOD,Day,PN-7741-B
2025-03-03T06:00:30Z,WS01_CNC_MILLING,WS01_CNC_MILLING_MOTOR_CURRENT,18.0392,A,GOOD,Day,PN-7741-B
2025-03-03T06:00:30Z,WS02_LATHE,WS02_LATHE_SPINDLE_SPEED,2803.4469,RPM,GOOD,Day,PN-3302-A
2025-03-03T06:00:30Z,WS02_LATHE,WS02_LATHE_CUTTING_FORCE,611.1044,N,GOOD,Day,PN-3302-A
2025-03-03T06:00:30Z,WS02_LATHE,WS02_LATHE_VIBRATION,0.1761,mm/s,GOOD,Day,PN-3302-A
2025-03-03T06:00:30Z,WS02_LATHE,WS02_LATHE_MOTOR_CURRENT,14.7593,A,GOOD,Day,PN-3302-A
2025-03-03T06:00:30Z,WS03_HYDRAULIC_PRESS,WS03_HYDRAULIC_PRESS_PRESS_FORCE,854.0458,kN,GOOD,Day,PN-5519-C
2025-03-03T06:00:30Z,WS03_HYDRAULIC_PRESS,WS03_HYDRAULIC_PRESS_HYDRAULIC_PRS,220.0808,bar,GOOD,Day,PN-5519-C
2025-03-03T06:00:30Z,WS03_HYDRAULIC_PRESS,WS03_HYDRAULIC_PRESS_OIL_TEMP,45.9869,°C,GOOD,Day,PN-5519-C
2025-03-03T06:00:30Z,WS03_HYDRAULIC_PRESS,WS03_HYDRAULIC_PRESS_CYCLE_TIME,4.196,s,GOOD,Day,PN-5519-C
2025-03-03T06:00:30Z,WS04_ASSEMBLY_ROBOT,WS04_ASSEMBLY_ROBOT_JOINT_TORQUE,37.2481,Nm,GOOD,Day,PN-8820-D
2025-03-03T06:00:30Z,WS04_ASSEMBLY_ROBOT,WS04_ASSEMBLY_ROBOT_CYCLE_TIME,12.876,s,GOOD,Day,PN-8820-D
2025-03-03T06:00:30Z,WS04_ASSEMBLY_ROBOT,WS04_ASSEMBLY_ROBOT_MOTOR_TEMP,50.0548,°C,GOOD,Day,PN-8820-D
2025-03-03T06:00:30Z,WS04_ASSEMBLY_ROBOT,WS04_ASSEMBLY_ROBOT_POSITION_ERR,0.0366,mm,GOOD,Day,PN-8820-D
2025-03-03T06:00:30Z,WS05_CMM_INSPECTION,WS05_CMM_INSPECTION_PROBE_FORCE,0.1487,N,GOOD,Day,PN-0011-X
2025-03-03T06:00:30Z,WS05_CMM_INSPECTION,WS05_CMM_INSPECTION_AMBIENT_TEMP,20.0544,°C,GOOD,Day,PN-0011-X
2025-03-03T06:00:30Z,WS05_CMM_INSPECTION,WS05_CMM_INSPECTION_HUMIDITY,48.2601,%RH,GOOD,Day,PN-0011-X
2025-03-03T06:00:30Z,WS05_CMM_INSPECTION,WS05_CMM_INSPECTION_CYCLE_TIME,94.6607,s,GOOD,Day,PN-0011-X
2025-03-03T06:01:00Z,WS01_CNC_MILLING,WS01_CNC_MILLING_SPINDLE_SPEED,4505.2439,RPM,GOOD,Day,PN-7741-B
2025-03-03T06:01:00Z,WS01_CNC_MILLING,WS01_CNC_MILLING_FEED_RATE,344.8037,mm/min,GOOD,Day,PN-7741-B
2025-03-03T06:01:00Z,WS01_CNC_MILLING,WS01_CNC_MILLING_COOLANT_TEMP,25.2159,°C,GOOD,Day,PN-7741-B
2025-03-03T06:01:00Z,WS01_CNC_MILLING,WS01_CNC_MILLING_MOTOR_CURRENT,18.097,A,GOOD,Day,PN-7741-B
2025-03-03T06:01:00Z,WS02_LATHE,WS02_LATHE_SPINDLE_SPEED,2797.0635,RPM,GOOD,Day,PN-3302-A
2025-03-03T06:01:00Z,WS02_LATHE,WS02_LATHE_CUTTING_FORCE,618.1414,N,GOOD,Day,PN-3302-A
2025-03-03T06:01:00Z,WS02_LATHE,WS02_LATHE_VIBRATION,0.1867,mm/s,GOOD,Day,PN-3302-A
2025-03-03T06:01:00Z,WS02_LATHE,WS02_LATHE_MOTOR_CURRENT,14.6579,A,GOOD,Day,PN-3302-A
2025-03-03T06:01:00Z,WS03_HYDRAULIC_PRESS,WS03_HYDRAULIC_PRESS_PRESS_FORCE,851.0464,kN,GOOD,Day,PN-5519-C
2025-03-03T06:01:00Z,WS03_HYDRAULIC_PRESS,WS03_HYDRAULIC_PRESS_HYDRAULIC_PRS,219.0684,bar,GOOD,Day,PN-5519-C
2025-03-03T06:01:00Z,WS03_HYDRAULIC_PRESS,WS03_HYDRAULIC_PRESS_OIL_TEMP,44.6973,°C,GOOD,Day,PN-5519-C
2025-03-03T06:01:00Z,WS03_HYDRAULIC_PRESS,WS03_HYDRAULIC_PRESS_CYCLE_TIME,4.2096,s,GOOD,Day,PN-5519-C
2025-03-03T06:01:00Z,WS04_ASSEMBLY_ROBOT,WS04_ASSEMBLY_ROBOT_JOINT_TORQUE,38.4765,Nm,GOOD,Day,PN-8820-D
2025-03-03T06:01:00Z,WS04_ASSEMBLY_ROBOT,WS04_ASSEMBLY_ROBOT_CYCLE_TIME,12.8149,s,GOOD,Day,PN-8820-D
