ruleId,violationRate,quarantined,threshold
RULE-ST01-03,1.0,True,0.5
RULE-WRH01-03,1.0,True,0.5
RULE-ST03-02,0.9954,True,0.5
RULE-THR-CHM01_CHEMICALSTORAGE-HUM-CRIT,0.5159,True,0.5
RULE-THR-WRH01_WAREHOUSE-TMP-CRIT,0.0125,False,0.5
RULE-WRH01-01,0.0125,False,0.5
RULE-THR-ST02_SEALING-CUR-CRIT,0.0123,False,0.5
RULE-ST04-01,0.0106,False,0.5
RULE-THR-ST04_PACKAGING-VIB-CRIT,0.0106,False,0.5
RULE-CHM01-01,0.0095,False,0.5
RULE-THR-CHM01_CHEMICALSTORAGE-TMP-CRIT,0.0095,False,0.5
RULE-THR-ST03_LABELLING-CNT-CRIT,0.0053,False,0.5
RULE-CAF01-01,0.0051,False,0.5
RULE-CAF01-03,0.0051,False,0.5
RULE-THR-CAF01_CAFETERIA-TMP-CRIT,0.0051,False,0.5
RULE-SRV01-01,0.0043,False,0.5
RULE-THR-SRV01_SERVERROOM-TMP-CRIT,0.0043,False,0.5
RULE-THR-ST01_FILLING-PRS-CRIT,0.0031,False,0.5
RULE-ST02-01,0.0005,False,0.5
RULE-THR-ST02_SEALING-TMP-CRIT,0.0005,False,0.5
RULE-ST01-01,0.0004,False,0.5
RULE-THR-ST01_FILLING-FLW-CRIT,0.0004,False,0.5
RULE-ST02-02,0.0002,False,0.5
RULE-ST04-02,0.0002,False,0.5
RULE-CAF01-02,0.0,False,0.5
RULE-CHM01-02,0.0,False,0.5
RULE-CHM01-03,0.0,False,0.5
RULE-RND01-01,0.0,False,0.5
RULE-SRV01-02,0.0,False,0.5
RULE-ST01-02,0.0,False,0.5
RULE-ST03-01,0.0,False,0.5
RULE-ST04-03,0.0,False,0.5
RULE-THR-CAF01_CAFETERIA-HUM-CRIT,0.0,False,0.5
RULE-THR-RND01_RDLAB-TMP-CRIT,0.0,False,0.5
RULE-THR-SRV01_SERVERROOM-HUM-CRIT,0.0,False,0.5
RULE-THR-ST01_FILLING-TMP-CRIT,0.0,False,0.5
RULE-THR-ST02_SEALING-PRS-CRIT,0.0,False,0.5
RULE-THR-ST03_LABELLING-SPD-CRIT,0.0,False,0.5
RULE-THR-ST03_LABELLING-TEN-CRIT,0.0,False,0.5
RULE-THR-ST04_PACKAGING-CUR-CRIT,0.0,False,0.5
RULE-THR-ST04_PACKAGING-SPD-CRIT,0.0,False,0.5
RULE-THR-WRH01_WAREHOUSE-HUM-CRIT,0.0,False,0.5
RULE-WRH01-02,0.0,False,0.5
