ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01_FILLING,ST01_FILLING_FLW,FLW,value >= 112 AND value <= 128,Maintain flow rate,INFO,128,128,112,112,L/min,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run2,2,False
RULE-ST01-02,ThresholdRule,ST01_FILLING,ST01_FILLING_TMP,TMP,value > 26,Reduce speed by 10% and notify QC,WARNING,0,,0,0,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run2,2,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,ST01_FILLING_PR,PRS,value < 3.3,Inspect inlet valve within 5 min,CRITICAL,0,,0,3.3,bar,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run2,2,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,TMP,value >= 175 AND value <= 195,Maintain temperature,INFO,195,195,175,175,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run2,2,False
RULE-ST02-02,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,TMP,value > 210,"Emergency stop ST02, ST03, ST04",CRITICAL,210,0,0,0,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run2,2,False
RULE-ST02-03,SlopeRule,ST02_SEALING,ST02_SEALING_CUR,CUR,value > nominal AND sustained > 5 min,Schedule maintenance,WARNING,0,,0,0,A,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run2,2,False
RULE-ST02-04,DependencyRule,ST02_SEALING,ST02_SEALING_CUR,CUR,TRIGGER WARNING,Monitor ST04_PACKAGING_SPD,WARNING,0,,0,0,,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run2,2,False
RULE-ST03-01,ThresholdRule,ST03_LABELLING,ST03_LABELLING_TEN,TEN,value >= 1.8 AND value <= 2.6,Maintain tension,INFO,2.6,2.6,1.8,1.8,N,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run2,2,False
RULE-ST03-02,ThresholdRule,ST03_LABELLING,ST03_LABELLING_CNT,CNT,value <= 110 AND value > 100,Check label jam,WARNING,110,0,100,100,pcs/min,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run2,2,False
RULE-ST03-03,PatternRule,ST03_LABELLING,ST03_LABELLING_TEN_STUCK,TEN,consecutive Samples > 10,Sensor failure alarm,CRITICAL,0,,0,0,,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run2,2,False
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_VIB,VIB,value > 0.20 AND value <= 0.35,Schedule maintenance within 24 h,WARNING,0.35,0.35,0.20,0.20,mm/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run2,2,False
