ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01,ST01_FILLING_TMP,TEMPERATURE,exceeds,reduce speed by 10% and notify QC,warning,26,26,26,26,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,react_abox,3,nemotron-3-nano-30b_react_abox_ctexts_s42_run2,2,False
RULE-ST01-02,ThresholdRule,ST01,ST01_FILLING_FLW,FLOW,drop below,inspect inlet valve within 5 min,warning,,,,3.3,bar,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,react_abox,3,nemotron-3-nano-30b_react_abox_ctexts_s42_run2,2,False
RULE-ST02-01,ThresholdRule,ST02,ST02_SEALING_TMP,TEMPERATURE,exceeds,"emergency stop ST02, ST03, ST04",critical,,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,react_abox,3,nemotron-3-nano-30b_react_abox_ctexts_s42_run2,2,False
RULE-ST02-02,ThresholdRule,ST02,ST02_SEALING_CUR,CURRENT,increase above,schedule maintenance,warning,,,,,A,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,react_abox,3,nemotron-3-nano-30b_react_abox_ctexts_s42_run2,2,False
RULE-ST02-04,ThresholdRule,ST02,ST04_PACKAGING_SPD,SPEED,drops below,verify source of speed reduction,warning,,,1.00,1.00,m/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,react_abox,3,nemotron-3-nano-30b_react_abox_ctexts_s42_run2,2,False
RULE-ST03-01,ThresholdRule,ST03,ST03_LABELLING_TEN,FORCE,between,,warning,2.6,2.6,1.8,1.8,N,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,react_abox,3,nemotron-3-nano-30b_react_abox_ctexts_s42_run2,2,False
RULE-ST03-02,ThresholdRule,ST03,ST03_LABELLING_CNT,COUNT,below,check for label jam; critical halt,critical,,110,100,100,pcs/min,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,react_abox,3,nemotron-3-nano-30b_react_abox_ctexts_s42_run2,2,False
RULE-ST03-03,ThresholdRule,ST03,ST03_LABELLING_TEN_STUCK,FAULT,above,sensor failure,warning,,10,10,,samples,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,react_abox,3,nemotron-3-nano-30b_react_abox_ctexts_s42_run2,2,False
RULE-ST04-01,ThresholdRule,ST04,ST04_PACKAGING_VIB,VIBRATION,exceeds,schedule maintenance within 24 h,warning,,0.20,0.20,,mm/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,react_abox,3,nemotron-3-nano-30b_react_abox_ctexts_s42_run2,2,False
RULE-ST04-02,ThresholdRule,ST04,ST04_PACKAGING_VIB,VIBRATION,exceeds,emergency stop; inspect bearings,critical,,,,,mm/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,react_abox,3,nemotron-3-nano-30b_react_abox_ctexts_s42_run2,2,False
