ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,thresholdValue
RULE-ST01-01,ThresholdRule,ST01_FILLING,ST01_FILLING_FLW,L/min,FLW volume nonconformance,Maintain FLW between 112 and 128 L/min,MANDATORY,128.0,,,112.0,L/min,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run1,1,False,
RULE-ST01-02,OperationalRule,ST01_FILLING,ST01_FILLING_TMP,°C,TMP exceeds 26°C,Reduce speed by 10% and notify QC,MANDATORY,,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run1,1,False,
RULE-ST01-03,ThresholdRule,ST01_FILLING,ST01_FILLING_PRS,bar,Pressure drop below 3.3 bar,Inspect inlet valve within 5 minutes,CRITICAL,,,,3.3,bar,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run1,1,False,
RULE-ST02-01,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,°C,Temperature nonconformance,Maintain TMP between 175 and 195°C,MANDATORY,195.0,,,175.0,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run1,1,False,
RULE-ST02-02,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,°C,Temperature CRITICAL threshold exceeded,"Emergency stop ST02, ST03, ST04",CRITICAL,210.0,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run1,1,False,
RULE-ST02-03,ThresholdRule,ST02_SEALING,ST02_SEALING_CUR,A,Current drift exceeds nominal by 1.5 A sustained for >5 min,Schedule maintenance,MANDATORY,,,,,A,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run1,1,False,
RULE-ST02-04,OperationalRule,ST02_SEALING,ST02_SEALING_CUR,A,Current drift correlates with speed reduction at ST04_PACKAGING,Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING,MANDATORY,,,,,A,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run1,1,False,
RULE-ST03-01,ThresholdRule,ST03_LABELLING,ST03_LABELLING_TEN,N,Tension nonconformance,Maintain TEN between 1.8 and 2.6 N,MANDATORY,2.6,,,1.8,N,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run1,1,False,
RULE-ST03-02,ThresholdRule,ST03_LABELLING,ST03_LABELLING_CNT,pcs/min,Count below 110 pcs/min,Check for label jam. Below 100 (CRITICAL): halt,MANDATORY,,109.0,,0.0,pcs/min,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run1,1,False,
RULE-ST03-03,ThresholdRule,ST03_LABELLING,ST03_LABELLING_TEN_STUCK,count,Sensor failure - TEN stuck >10 consecutive samples,Detect sensor failure,CRITICAL,,,,10,count,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run1,1,False,
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_VIB,mm/s,Vibration WARNING threshold crossed,Schedule maintenance within 24 hours,WARNING,,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run1,1,False,
RULE-ST04-02,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_VIB,mm/s,Vibration CRITICAL threshold crossed,Emergency stop; inspect bearings,CRITICAL,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run1,1,False,
RULE-ST04-03,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_SPD,m/s,Speed drops below 1.00 m/s without operator command,Verify RULE-ST02-04,CRITICAL,,,1.00,,m/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run1,1,False,
RULE-SRV01-01,OperationalRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,°C,Temperature must not exceed 25°C,Maintain temperature within limit,MANDATORY,25.0,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run1,1,False,
RULE-SRV01-02,ThresholdRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,°C,Temperature CRITICAL threshold exceeded,Automatic controlled shutdown of all PLC nodes,CRITICAL,28.0,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run1,1,False,
RULE-WRH01-01,ThresholdRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_TMP,°C,Temperature nonconformance,Maintain temperature between 0.5 and 8°C; CRITICAL above 12°C triggers QC and quarantine,MANDATORY,12.0,,,0.5,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run1,1,False,
RULE-WRH01-02,OperationalRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_HUM,%RH,Humidity above 85%,Inspect door seals and activate dehumidifier,MANDATORY,,85.0,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run1,1,False,
RULE-CHM01-01,ThresholdRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_TMP,°C,Temperature nonconformance,Maintain temperature between 10 and 20°C; CRITICAL above 25°C triggers emergency ventilation and safety officer notification,MANDATORY,25.0,,,10.0,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run1,1,False,
RULE-CHM01-02,ThresholdRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_HUM,%RH,Humidity exceeds 45%,Activate desiccant system,MANDATORY,,45.0,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run1,1,False,
RULE-CHM01-03,OperationalRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_UNAUTHORIZED_ACCESS,boolean,Unauthorized access detected,Escalate within 2 minutes,CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run1,1,False,
RULE-RND01-01,ThresholdRule,RND01_RDLAB,RND01_RDLAB_TMP,°C,Temperature nonconformance,Maintain temperature between 18 and 26°C,MANDATORY,26.0,,,18.0,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run1,1,False,
RULE-RND01-02,ThresholdRule,RND01_RDLAB,RND01_RDLAB_HUM,%RH,Humidity drift above 65%,Activate dehumidifier,MANDATORY,,65.0,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run1,1,False,
RULE-RND01-03,ThresholdRule,RND01_RDLAB,RND01_RDLAB_HUM,%RH,Humidity CRITICAL threshold exceeded,Suspend sensitive experiments and inspect HVAC system,CRITICAL,75.0,,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run1,1,False,
RULE-CAF01-01,OperationalRule,CAF01_CAFETERIA,CAF01_CAFETERIA_TMP,°C,Temperature above 26°C,Check ventilation system,MANDATORY,,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run1,1,False,
RULE-CAF01-02,OperationalRule,CAF01_CAFETERIA,CAF01_CAFETERIA_HUM,%RH,Humidity above 70%,Inspect drainage and activate ventilation,MANDATORY,,70.0,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run1,1,False,
RULE-THR-ST01-FILLING-TMP-CRIT-LO,ThresholdRule,ST01_FILLING,TMP,TMP,CRIT_LO,Inspect and notify maintenance,CRITICAL,,,,15,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run1,1,False,
RULE-THR-ST01-FILLING-PRS-CRIT-LO,ThresholdRule,ST01_FILLING,PRS,PRS,CRIT_LO,Inspect and notify maintenance,CRITICAL,,,,3,bar,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run1,1,False,
RULE-THR-ST01-FILLING-FLW-CRIT-LO,ThresholdRule,ST01_FILLING,FLW,FLW,CRIT_LO,Inspect and notify maintenance,CRITICAL,,,,105,L/min,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run1,1,False,
RULE-THR-ST02-SEALING-TMP-CRIT-LO,ThresholdRule,ST02_SEALING,TMP,TMP,CRIT_LO,E-STOP ST02/ST03/ST04; inspect element,CRITICAL,,,,165,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run1,1,False,
RULE-THR-ST02-SEALING-PRS-CRIT-LO,ThresholdRule,ST02_SEALING,PRS,PRS,CRIT_LO,Inspect and notify maintenance,CRITICAL,,,,4.2,bar,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run1,1,False,
RULE-THR-ST02-SEALING-CUR-CRIT-LO,ThresholdRule,ST02_SEALING,CUR,CUR,CRIT_LO,E-STOP; inspect load; verify ST04-SPD (RULE-ST02-04),CRITICAL,,,,9.5,A,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run1,1,False,
RULE-THR-ST03-LABELLING-SPD-CRIT-LO,ThresholdRule,ST03_LABELLING,SPD,SPD,CRIT_LO,Inspect and notify maintenance,CRITICAL,,,,0.65,m/s,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run1,1,False,
