ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,condition own
RULE-ST01-01,ThresholdRule,ST01_FILLING,FLW,Flow,between 112 and 128,Maintain flow,INFO,128,,,112,L/min,SOP_001_OperatingProcedures.txt,gemma4:31b,cot_structured,1,gemma4-31b_cot_structured_ctexts_s42_run1,1,False,
RULE-ST01-02,ThresholdRule,ST01_FILLING,TMP,Temperature,> 26,reduce speed by 10% and notify QC,WARNING,,26,,,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,cot_structured,1,gemma4-31b_cot_structured_ctexts_s42_run1,1,False,
RULE-ST01-03,ThresholdRule,ST01_FILLING,PRS,Pressure,< 3.3,inspect inlet valve within 5 min,WARNING,,,3.3,,bar,SOP_001_OperatingProcedures.txt,gemma4:31b,cot_structured,1,gemma4-31b_cot_structured_ctexts_s42_run1,1,False,
RULE-ST02-01,ThresholdRule,ST02_SEALING,TMP,Temperature,between 175 and 195,Maintain temperature,INFO,195,,,175,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,cot_structured,1,gemma4-31b_cot_structured_ctexts_s42_run1,1,False,
RULE-ST02-02,ThresholdRule,ST02_SEALING,TMP,Temperature,> 210,"emergency stop ST02, ST03, ST04",CRITICAL,210,,,,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,cot_structured,1,gemma4-31b_cot_structured_ctexts_s42_run1,1,False,
RULE-ST02-03,ThresholdRule,ST02_SEALING,CUR,Current,,schedule maintenance,WARNING,,1.5,,,A,SOP_001_OperatingProcedures.txt,gemma4:31b,cot_structured,1,gemma4-31b_cot_structured_ctexts_s42_run1,1,False,> 1.5 above nominal sustained > 5 min
RULE-ST02-04,DependencyRule,ST02_SEALING,CUR,Current,CUR Warning,Monitor ST04_PACKAGING-SPD,WARNING,,,,,,SOP_001_OperatingProcedures.txt,gemma4:31b,cot_structured,1,gemma4-31b_cot_structured_ctexts_s42_run1,1,False,
RULE-ST03-01,ThresholdRule,ST03_LABELLING,TEN,Tension,between 1.8 and 2.6,Maintain tension,INFO,2.6,,,1.8,N,SOP_001_OperatingProcedures.txt,gemma4:31b,cot_structured,1,gemma4-31b_cot_structured_ctexts_s42_run1,1,False,
RULE-ST03-02,ThresholdRule,ST03_LABELLING,CNT,Count,"< 110 (Warn), < 100 (Crit)",check for label jam / halt,CRITICAL,,,110,100,pcs/min,SOP_001_OperatingProcedures.txt,gemma4:31b,cot_structured,1,gemma4-31b_cot_structured_ctexts_s42_run1,1,False,
RULE-ST03-03,SignalRule,ST03_LABELLING,TEN,Tension,Stuck > 10 samples,sensor failure alarm,CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,gemma4:31b,cot_structured,1,gemma4-31b_cot_structured_ctexts_s42_run1,1,False,
