ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01_FILLING,FLW,Flow Rate,Between 112 and 128 L/min,Maintain,NORMAL,128,128,112,112,L/min,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run5,1,False
RULE-ST01-02,ThresholdRule,ST01_FILLING,TMP,Temperature,> 26°C,Reduce speed by 10% and notify QC,WARNING,,26,,,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run5,1,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,PRS,Pressure,< 3.3 bar,Inspect inlet valve within 5 min,WARNING,,,3.3,3.3,bar,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run5,1,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,TMP,Temperature,Between 175°C and 195°C,Maintain,NORMAL,195,195,175,175,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run5,1,False
RULE-ST02-02,ThresholdRule,ST02_SEALING,TMP,Temperature,> 210°C,"Emergency stop ST02, ST03, ST04",CRITICAL,210,,,,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run5,1,False
RULE-ST02-03,ThresholdRule,ST02_SEALING,CUR,Current,>1.5 A above nominal sustained >5 min,Schedule maintenance,WARNING,,1.5,,,A,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run5,1,False
RULE-ST02-04,CorrelationRule,ST02_SEALING / ST04_PACKAGING,CUR / SPD,Current / Speed,ST02_SEALING-CUR triggers WARNING,Monitor ST04_PACKAGING-SPD,WARNING,,,,,,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run5,1,False
RULE-ST03-01,ThresholdRule,ST03_LABELLING,TEN,Tension,Between 1.8 and 2.6 N,Maintain,NORMAL,2.6,2.6,1.8,1.8,N,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run5,1,False
RULE-ST03-02,ThresholdRule,ST03_LABELLING,CNT,Count/Rate,"< 110 pcs/min (WARN), < 100 pcs/min (CRIT)","Check for label jam (WARN), Halt (CRIT)",CRITICAL,,,110,100,pcs/min,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run5,1,False
RULE-ST03-03,StateRule,ST03_LABELLING,TEN,Tension,STUCK > 10 consecutive samples,Sensor failure alert,CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run5,1,False
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,VIB,Vibration,> 0.20 mm/s,Schedule maintenance within 24 h,WARNING,,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run5,1,False
RULE-ST04-02,ThresholdRule,ST04_PACKAGING,VIB,Vibration,> 0.35 mm/s,Emergency stop; inspect bearings,CRITICAL,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run5,1,False
RULE-ST04-03,ThresholdRule,ST04_PACKAGING,SPD,Speed,< 1.00 m/s,Verify RULE-ST02-04,WARNING,,,1.00,1.00,m/s,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run5,1,False
RULE-SRV01-01,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,> 25°C,Alert,WARNING,,25,,,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run5,1,False
RULE-SRV01-02,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,> 28°C,Automatic controlled shutdown of all PLC nodes,CRITICAL,28,,,,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run5,1,False
RULE-WRH01-01,ThresholdRule,WRH01_WAREHOUSE,TMP,Temperature,"0.5°C to 8°C (Normal), > 12°C (CRIT)",Notify QC and quarantine batch (CRIT),CRITICAL,12,8,0.5,0.5,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run5,1,False
RULE-WRH01-02,ThresholdRule,WRH01_WAREHOUSE,HUM,Humidity,> 85%RH,Inspect door seals and activate dehumidifier,WARNING,,85,,,%RH,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run5,1,False
RULE-CHM01-01,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,Temperature,"10°C to 20°C (Normal), > 25°C (CRIT)",Activate emergency ventilation and notify safety officer,CRITICAL,25,20,10,10,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run5,1,False
RULE-CHM01-02,ThresholdRule,CHM01_CHEMICALSTORAGE,HUM,Humidity,"> 45%RH (Action), > 50%RH (Limit)",Activate desiccant system,WARNING,50,45,,,%RH,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run5,1,False
RULE-CHM01-03,AccessRule,CHM01_CHEMICALSTORAGE,UNAUTHORIZED_ACCESS,Security,Non-hazmat personnel entry,Escalate within 2 minutes,CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run5,1,False
RULE-RND01-01,ThresholdRule,RND01_RDLAB,TMP,Temperature,Between 18°C and 26°C,Maintain,NORMAL,26,26,18,18,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run5,1,False
RULE-RND01-02,ThresholdRule,RND01_RDLAB,HUM,Humidity,"> 65%RH (WARN), > 75%RH (CRIT)","Activate dehumidifier (WARN), Suspend experiments and inspect HVAC (CRIT)",CRITICAL,75,65,,,%RH,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run5,1,False
RULE-CAF01-01,ThresholdRule,CAF01_CAFETERIA,TMP,Temperature,> 26°C,Check ventilation system,WARNING,,26,,,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run5,1,False
RULE-CAF01-02,ThresholdRule,CAF01_CAFETERIA,HUM,Humidity,> 70%RH,Inspect drainage and activate ventilation,WARNING,,70,,,%RH,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run5,1,False
R1,ThresholdRule,ST01_FILLING,TMP,Temperature,"Value outside [CRIT_LO, CRIT_HI]",Inspect and notify maintenance,CRITICAL,30,26,18,15,°C,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run5,1,False
R2,ThresholdRule,ST01_FILLING,PRS,Pressure,"Value outside [CRIT_LO, CRIT_HI]",Inspect and notify maintenance,CRITICAL,4.8,4.2,3.3,3,bar,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run5,1,False
R3,ThresholdRule,ST01_FILLING,FLW,Flow,"Value outside [CRIT_LO, CRIT_HI]",Inspect and notify maintenance,CRITICAL,135,128,112,105,L/min,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run5,1,False
R4,ThresholdRule,ST02_SEALING,TMP,Temperature,"Value outside [CRIT_LO, CRIT_HI]",E-STOP ST02/ST03/ST04; inspect element,CRITICAL,210,195,175,165,°C,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run5,1,False
R5,ThresholdRule,ST02_SEALING,PRS,Pressure,"Value outside [CRIT_LO, CRIT_HI]",Inspect and notify maintenance,CRITICAL,6.2,5.7,4.6,4.2,bar,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run5,1,False
R6,ThresholdRule,ST02_SEALING,CUR,Current,"Value outside [CRIT_LO, CRIT_HI]",E-STOP; inspect load; verify ST04-SPD (RULE-ST02-04),CRITICAL,15,13.5,11,9.5,A,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run5,1,False
R7,ThresholdRule,ST03_LABELLING,SPD,Speed,"Value outside [CRIT_LO, CRIT_HI]",Inspect and notify maintenance,CRITICAL,1.05,0.95,0.75,0.65,m/s,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run5,1,False
R8,ThresholdRule,ST03_LABELLING,TEN,Tension,"Value outside [CRIT_LO, CRIT_HI]",Inspect and notify maintenance,CRITICAL,3,2.6,1.8,1.5,N,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run5,1,False
R9,ThresholdRule,ST03_LABELLING,CNT,Counter,"Value outside [CRIT_LO, CRIT_HI]",E-STOP labelling; inspect label path,CRITICAL,140,130,110,100,pcs/m in,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run5,1,False
R10,ThresholdRule,ST04_PACKAGING,VIB,Vibration,"Value outside [CRIT_LO, CRIT_HI]",E-STOP; inspect main bearing,CRITICAL,0.35,0.2,0.02,0.01,mm/s,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run5,1,False
R11,ThresholdRule,ST04_PACKAGING,CUR,Current,"Value outside [CRIT_LO, CRIT_HI]",Inspect and notify maintenance,CRITICAL,11,9.8,7.5,6.5,A,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run5,1,False
R12,ThresholdRule,ST04_PACKAGING,SPD,Speed,"Value outside [CRIT_LO, CRIT_HI]",Inspect and notify maintenance,CRITICAL,1.6,1.4,1,0.85,m/s,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run5,1,False
R13,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,"Value outside [CRIT_LO, CRIT_HI]",Activate backup cooling; prepare controlled PLC shutdown,CRITICAL,28,25,18,16,°C,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run5,1,False
R14,ThresholdRule,SRV01_SERVERROOM,HUM,Humidity,"Value outside [CRIT_LO, CRIT_HI]",Inspect and notify maintenance,CRITICAL,70.0,60.0,30.0,25.0,%RH,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run5,1,False
R15,ThresholdRule,WRH01_WAREHOUSE,TMP,Temperature,"Value outside [CRIT_LO, CRIT_HI]",Activate backup refrigeration; notify,CRITICAL,12,8,0.5,-1,°C,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run5,1,False
R16,ThresholdRule,WRH01_WAREHOUSE,HUM,Humidity,"Value outside [CRIT_LO, CRIT_HI]",Inspect and notify maintenance,CRITICAL,90,85,60,55,%RH,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run5,1,False
R17,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,Temperature,"Value outside [CRIT_LO, CRIT_HI]",Activate emergency ventilation; notify safety officer immediately,CRITICAL,25,20,10,5,°C,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run5,1,False
