ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
ST01-01,ThresholdRule,ST01_FILLING,FLW,Flow_Rate,maintained between 112 and 128,,INFO,128,128,112,112,L/min,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,naive,0,nemotron-3-nano-30b_naive_ctexts_s42_run4,1,False
ST01-02,ThresholdAlarm,ST01_FILLING,TMP,Temperature,exceeds 26,reduce speed by 10% and notify QC,WARNING,26,26,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,naive,0,nemotron-3-nano-30b_naive_ctexts_s42_run4,1,False
ST01-03,ThresholdAlarm,ST01_FILLING,PRS,Pressure,drop below 3.3,inspect inlet valve within 5 min,CRITICAL,3.3,3.3,,3.3,bar,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,naive,0,nemotron-3-nano-30b_naive_ctexts_s42_run4,1,False
ST02-01,ThresholdRule,ST02_SEALING,TMP,Temperature,between 175 and 195,,INFO,195,195,175,175,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,naive,0,nemotron-3-nano-30b_naive_ctexts_s42_run4,1,False
ST02-02,ThresholdAlarm,ST02_SEALING,TMP,Temperature,exceeds 210,"emergency stop ST02, ST03, ST04",CRITICAL,210,210,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,naive,0,nemotron-3-nano-30b_naive_ctexts_s42_run4,1,False
ST02-03,TrendRule,ST02_SEALING,CUR,Current,increase >1.5 A above nominal sustained >5 min,schedule maintenance,WARNING,1.5,1.5,,,A,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,naive,0,nemotron-3-nano-30b_naive_ctexts_s42_run4,1,False
ST02-04,CorrelationRule,ST02_SEALING,CUR,Current,drift correlates with speed reduction at ST04_PACKAGING,monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a warning,WARNING,,,,,,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,naive,0,nemotron-3-nano-30b_naive_ctexts_s42_run4,1,False
ST03-01,ThresholdRule,ST03_LABELLING,TEN,Torque_N,between 1.8 and 2.6,,INFO,2.6,2.6,1.8,1.8,N,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,naive,0,nemotron-3-nano-30b_naive_ctexts_s42_run4,1,False
ST03-02,ThresholdAlarm,ST03_LABELLING,CNT,Count_per_min,below 110,check for label jam,WARNING,110,110,,,pcs/min,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,naive,0,nemotron-3-nano-30b_naive_ctexts_s42_run4,1,False
ST03-03,ThresholdAlarm,ST03_LABELLING,TEN_STUCK,Consecutive_Samples,greater than 10 consecutive samples,sensor failure,CRITICAL,10,,,,,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,naive,0,nemotron-3-nano-30b_naive_ctexts_s42_run4,1,False
ST04-01,ThresholdAlarm,ST04_PACKAGING,VIB,Vibration_mm_per_sec,exceeds 0.20,schedule maintenance within 24 h,WARNING,0.20,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,naive,0,nemotron-3-nano-30b_naive_ctexts_s42_run4,1,False
ST04-02,ThresholdAlarm,ST04_PACKAGING,VIB,Vibration_mm_per_sec,exceeds 0.35,emergency stop; inspect bearings,CRITICAL,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,naive,0,nemotron-3-nano-30b_naive_ctexts_s42_run4,1,False
ST04-03,SequenceRule,ST04_PACKAGING,SPD,Speed_m_per_sec,drops below 1.00 without operator command,verify RULE-ST02-04,CRITICAL,1.00,,,,m/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,naive,0,nemotron-3-nano-30b_naive_ctexts_s42_run4,1,False
